page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0045	SW105	038	Clapham Junction to Weymouth BML2 Wessex	12/04/08		105	60	*	105.60
0045	SW105	038	Clapham Junction to Weymouth BML2 Wessex	12/04/08	PO KESDOWN	106	24		106.24
0045	SW105	038	Clapham Junction to Weymouth BML2 Wessex	12/04/08		106	65	*	106.65
0046	SW105	039	Clapham Junction to Weymouth BML2 BLP Wessex	12/04/08		107	40	*	107.40
0046	SW105	039	Clapham Junction to Weymouth BML2 BLP Wessex	12/04/08		107	68	*	107.68
0046	SW105	039	Clapham Junction to Weymouth BML2 BLP Wessex	12/04/08		107	70	*	107.70
0046	SW105	039	Clapham Junction to Weymouth BML2 BLP Wessex	12/04/08	Bournemouth SB (BC)	107	70	X	107.70
0046	SW105	039	Clapham Junction to Weymouth BML2 BLP Wessex	12/04/08	BOURNEMOUTH	103	02		103.02
0046	SW105	039	Clapham Junction to Weymouth BML2 BLP Wessex	12/04/08		108	15	*	108.15
0046	SW105	039	Clapham Junction to Weymouth BML2 BLP Wessex	12/04/08		108	19	*	108.19
0047	SW105	040	Clapham Junction to Weymouth BML2 BBD9 Wessex	02/12/06		108	32	*	108.32
0047	SW105	040	Clapham Junction to Weymouth BML2 BBD9 Wessex	02/12/06		108	54	*	108.54
0047	SW105	040	Clapham Junction to Weymouth BML2 BBD9 Wessex	02/12/06		109	70	*	109.70
0047	SW105	040	Clapham Junction to Weymouth BML2 BBD9 Wessex	02/12/06		110	30	*	110.30
0047	SW105	040	Clapham Junction to Weymouth BML2 BBD9 Wessex	02/12/06	BRANKSOME	110	51		110.51
0047	SW105	040	Clapham Junction to Weymouth BML2 BBD9 Wessex	02/12/06		110	65	*	110.65
0048	SW105	041	Clapham Junction to Weymouth BML2 Wessex	12/04/08		111	29	*	111.29
0048	SW105	041	Clapham Junction to Weymouth BML2 Wessex	12/04/08		111	72	*	111.72
0048	SW105	041	Clapham Junction to Weymouth BML2 Wessex	12/04/08	PARKSTONE 1	11	76		11.76
0048	SW105	041	Clapham Junction to Weymouth BML2 Wessex	12/04/08		113	20	*	113.20
0048	SW105	041	Clapham Junction to Weymouth BML2 Wessex	12/04/08		113	47	*	113.47
0049	SW105	042	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Poole (PO) LC	113	50	CCTV	113.50
0049	SW105	042	Clapham Junction to Weymouth BML2 Wessex	02/12/06	POOLE	113	62		113.62
0049	SW105	042	Clapham Junction to Weymouth BML2 Wessex	02/12/06		113	68	*	113.68
0049	SW105	042	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Poole SB	113	75	P0	113.75
0049	SW105	042	Clapham Junction to Weymouth BML2 Wessex	02/12/06		114	05	*	114.05
0050	SW105	043	Clapham Junction to Weymouth BML2 Wessex	10/02/07		114	45	*	114.45
0050	SW105	043	Clapham Junction to Weymouth BML2 Wessex	10/02/07		115	70	*	115.70
0050	SW105	043	Clapham Junction to Weymouth BML2 Wessex	10/02/07	Hamworthy Jn SB	115	77	HW	115.77
0050	SW105	043	Clapham Junction to Weymouth BML2 Wessex	10/02/07	HAMWORTHY	115	77	*	115.77
0050	SW105	043	Clapham Junction to Weymouth BML2 Wessex	10/02/07		116	30	*	116.30
