page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06	Manningtree South Jn . LC	59	46	CCTV	59.46
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06	OHNS	59	47		59.47
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06		59	60	*	59.60
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06	Manningtree North Jn	59	69		59.69
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06		60	30	*	60.30
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06	Plucks Farm LC	62	44		62.44
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07	Bentley LC	63	07	AHBC—X	63.07
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07	Halifax Jn	67	67		67.67
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07		67	74	*	67.74
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07		68	17	*	68.17
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07	Ipswich Tunnel	68	17	X	68.17
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07	(361 yards)	68	17	X	68.17
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07		66	31	*	66.31
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07		66	47		66.47
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07		68	48	*	68.48
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07	IPSWICH	68	59		68.59
0031	EA1011	018	Seven Kings to Ipswich LTN Anglia	01/12/07		66	70	*	66.70
page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0155	EA1380	001	Fenchurch St to Shoeburyness FSS Anglia	01/12/07	FENGHURGH STREET	0	00		0.00
0155	EA1380	001	Fenchurch St to Shoeburyness FSS Anglia	01/12/07	Tower Gateway station (DLR)	0	00	X	0.00
0155	EA1380	001	Fenchurch St to Shoeburyness FSS Anglia	01/12/07		0	33	*	0.33
0155	EA1380	001	Fenchurch St to Shoeburyness FSS Anglia	01/12/07	Royal Mint Street Jn . (DLR)	0	33	X	0.33
0155	EA1380	001	Fenchurch St to Shoeburyness FSS Anglia	01/12/07	Christian Street Jn	0	61		0.61
0156	EA1380	002	Fenchurch St to Shoeburyness FSS Anglia	05/08/06	Shadwell station	1	04	DLR	1.04
0156	EA1380	002	Fenchurch St to Shoeburyness FSS Anglia	05/08/06		1	43	*	1.43
0156	EA1380	002	Fenchurch St to Shoeburyness FSS Anglia	05/08/06	Limehouse station (DLR)	1	43	X	1.43
0156	EA1380	002	Fenchurch St to Shoeburyness FSS Anglia	05/08/06	LIMEHOUSE	1	53		1.53
0156	EA1380	002	Fenchurch St to Shoeburyness FSS Anglia	05/08/06		1	63	*	1.63
0156	EA1380	002	Fenchurch St to Shoeburyness FSS Anglia	05/08/06		2	25		2.25
0156	EA1380	002	Fenchurch St to Shoeburyness FSS Anglia	05/08/06		2	51	*	2.51
0156	EA1380	002	Fenchurch St to Shoeburyness FSS Anglia	05/08/06	Gas Factoan	2	57		2.57
0157	EA1380	003	Fenchurch St to Shoeburyness FSS Anglia	05/08/06		2	73	*	2.73
